Epoch: 0, train loss: -1.0492, test auc-roc: 0.8226, test auc-pr: 0.0330, test log prob: -2587.1528
Epoch: 1, train loss: -1.0476, test auc-roc: 0.8143, test auc-pr: 0.0416, test log prob: -2620.9504
Epoch: 2, train loss: -1.0683, test auc-roc: 0.8345, test auc-pr: 0.1126, test log prob: -2606.4215G
Epoch: 3, train loss: -1.0571, test auc-roc: 0.7686, test auc-pr: 0.0432, test log prob: -2605.3532
Epoch: 4, train loss: -1.0428, test auc-roc: 0.8737, test auc-pr: 0.1029, test log prob: -2612.4574
Epoch: 5, train loss: -1.0376, test auc-roc: 0.8656, test auc-pr: 0.1359, test log prob: -2581.1508
Epoch: 6, train loss: -1.0295, test auc-roc: 0.8738, test auc-pr: 0.0971, test log prob: -2598.3450
Epoch: 7, train loss: -1.0479, test auc-roc: 0.8693, test auc-pr: 0.1096, test log prob: -2598.0831
Epoch: 8, train loss: -1.0505, test auc-roc: 0.8184, test auc-pr: 0.2093, test log prob: -2594.2805
Epoch: 9, train loss: -1.0580, test auc-roc: 0.9002, test auc-pr: 0.1575, test log prob: -2583.7515
Epoch: 10, train loss: -1.0381, test auc-roc: 0.8864, test auc-pr: 0.1448, test log prob: -2603.0507
Epoch: 11, train loss: -1.0557, test auc-roc: 0.8428, test auc-pr: 0.1441, test log prob: -2589.2859
Epoch: 12, train loss: -1.0515, test auc-roc: 0.8725, test auc-pr: 0.1571, test log prob: -2577.4285
Epoch: 13, train loss: -1.0479, test auc-roc: 0.8914, test auc-pr: 0.1908, test log prob: -2585.3720
Epoch: 14, train loss: -1.0702, test auc-roc: 0.8848, test auc-pr: 0.1964, test log prob: -2600.1762
Epoch: 15, train loss: -1.0340, test auc-roc: 0.8666, test auc-pr: 0.1834, test log prob: -2591.5280
Epoch: 16, train loss: -1.0545, test auc-roc: 0.8676, test auc-pr: 0.1981, test log prob: -2585.4163
Epoch: 17, train loss: -1.0613, test auc-roc: 0.8756, test auc-pr: 0.2068, test log prob: -2606.7206
Epoch: 18, train loss: -1.0757, test auc-roc: 0.8685, test auc-pr: 0.1755, test log prob: -2603.7747
Epoch: 19, train loss: -1.0264, test auc-roc: 0.9094, test auc-pr: 0.2066, test log prob: -2589.3211
Epoch: 20, train loss: -1.0481, test auc-roc: 0.8902, test auc-pr: 0.1872, test log prob: -2601.5458
Epoch: 21, train loss: -1.0710, test auc-roc: 0.8670, test auc-pr: 0.1904, test log prob: -2618.0961
Epoch: 22, train loss: -1.0744, test auc-roc: 0.8682, test auc-pr: 0.2140, test log prob: -2588.0301
Epoch: 23, train loss: -1.0557, test auc-roc: 0.8972, test auc-pr: 0.1840, test log prob: -2615.7625
Epoch: 24, train loss: -1.0556, test auc-roc: 0.8957, test auc-pr: 0.2565, test log prob: -2596.7227
Epoch: 25, train loss: -1.0726, test auc-roc: 0.8745, test auc-pr: 0.1916, test log prob: -2571.3078
Epoch: 26, train loss: -1.0680, test auc-roc: 0.8721, test auc-pr: 0.1928, test log prob: -2601.7897
Epoch: 27, train loss: -1.0803, test auc-roc: 0.8723, test auc-pr: 0.1468, test log prob: -2591.4428
Epoch: 28, train loss: -1.0753, test auc-roc: 0.9016, test auc-pr: 0.2282, test log prob: -2602.8425
Epoch: 29, train loss: -1.0228, test auc-roc: 0.9008, test auc-pr: 0.1726, test log prob: -2602.6643
Epoch: 30, train loss: -1.0735, test auc-roc: 0.8994, test auc-pr: 0.1949, test log prob: -2587.1015
Epoch: 31, train loss: -1.0868, test auc-roc: 0.8833, test auc-pr: 0.1747, test log prob: -2596.7642
Epoch: 32, train loss: -1.0701, test auc-roc: 0.8957, test auc-pr: 0.1710, test log prob: -2606.1369
Epoch: 33, train loss: -1.0344, test auc-roc: 0.8794, test auc-pr: 0.1936, test log prob: -2606.3604
Epoch: 34, train loss: -1.0707, test auc-roc: 0.8948, test auc-pr: 0.2551, test log prob: -2586.9557
Epoch: 35, train loss: -1.0835, test auc-roc: 0.8882, test auc-pr: 0.2357, test log prob: -2606.3383
Epoch: 36, train loss: -1.0253, test auc-roc: 0.8959, test auc-pr: 0.2553, test log prob: -2586.7995
Epoch: 37, train loss: -1.0593, test auc-roc: 0.8843, test auc-pr: 0.2876, test log prob: -2606.9644
Epoch: 38, train loss: -1.0630, test auc-roc: 0.8731, test auc-pr: 0.2263, test log prob: -2596.2567
Epoch: 39, train loss: -1.0464, test auc-roc: 0.8850, test auc-pr: 0.2243, test log prob: -2610.6986
Epoch: 40, train loss: -1.0777, test auc-roc: 0.8926, test auc-pr: 0.2384, test log prob: -2592.9827
Epoch: 41, train loss: -1.0706, test auc-roc: 0.8927, test auc-pr: 0.2904, test log prob: -2619.2162
Epoch: 42, train loss: -1.0689, test auc-roc: 0.8881, test auc-pr: 0.2350, test log prob: -2612.6324
Epoch: 43, train loss: -1.0706, test auc-roc: 0.8976, test auc-pr: 0.1961, test log prob: -2602.9047
Epoch: 44, train loss: -1.0734, test auc-roc: 0.8927, test auc-pr: 0.1517, test log prob: -2600.1571
Epoch: 45, train loss: -1.0521, test auc-roc: 0.8861, test auc-pr: 0.2786, test log prob: -2606.7108
Epoch: 46, train loss: -1.0390, test auc-roc: 0.8777, test auc-pr: 0.2190, test log prob: -2603.1953
Epoch: 47, train loss: -1.0322, test auc-roc: 0.9064, test auc-pr: 0.2501, test log prob: -2599.9287
